FragmentID,SMILES,Unnamed: 2,MW,logP,HBD,HBA,TPSA,RotBonds,Solubility_mg_per_mL
Z1980978363,OCCC(NC=1N=CN=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C4CCCCC4,,407.47100000000023,0.18099999999999894,5,10,145.78000000000003,7,2.541361843946685e-06
Z1672739450,O=C1C(F)=CN(C(=O)N1CC(O)CCC=2C=CC=CC2)C3CCCO3,,348.37400000000014,1.4517999999999993,1,6,73.46000000000001,6,6.49730022697695e-06
Z382734618,CN(C)C(=O)N1CCN(CC2=CC(=O)N(C)C(=O)N2C)CC1,,309.37000000000006,-1.1167999999999978,0,6,70.79000000000002,2,0.3398037734584503
Z821318386,N#CC1=CN(C(=O)N(CCCN2CCCC2=O)C1=O)C3CC3,,302.334,0.22907999999999928,0,6,88.1,5,0.000247226937999759
Z1544608199,CC1=CN(C(=O)N(CC2=CC(C)=NC3=CC=CC=C23)C1=O)C4CC(O)C(CO)O4,,397.4310000000002,0.8640399999999995,2,8,106.58000000000001,4,0.00019202790307141013
Z212240750,CN1C(=O)C=C(CN2CCN(CCO)CC2)N(C)C1=O,,282.344,-1.8060999999999967,1,7,70.71000000000001,4,0.04784414116669258
Z212212618,CCCN1CCN(CC2=CC(=O)N(C)C(=O)N2C)CC1,,280.37200000000007,-0.3883999999999985,0,6,50.48,4,0.007099703952445252
Z822176618,CCN1C=C(C#N)C(=O)N(CC(O)CN2CCC(C)CC2)C1=O,,320.3930000000001,-0.005619999999999736,1,7,91.25999999999999,5,0.0003171224725781531
Z995340470,N#CC1=CN(C(=O)N(CCC(=O)NC=2C=CC=CC2)C1=O)C3CC3,,324.34000000000015,1.2453799999999993,1,6,96.88999999999999,5,4.5725989509422486e-05
Z1190346088,CCN1C=C(C#N)C(=O)N(CC(F)F)C1=O,,229.18599999999995,0.16668000000000005,0,5,67.78999999999999,3,0.023307005835207416
Z1263820433,Cl.NC=1C=CC=C(N1)C(=O)N2CCCC2CO,,257.7209999999999,0.6825000000000001,2,4,79.45,2,0.052312395503200965
