FragmentID,SMILES,
Z56777083,NC=1N=CN=C2C1N=C(Br)N2C3CC(O)C(CO)O3,
Z2587626535,Cl.O=C(O)C1CC(O)CN1C2=CC=NC=N2,
Z3212792438,O=C1NC(=O)N(C=C1CC=2C=CC=CC2)COCCO,
Z2510971309,CN1N=NN=C1N2C[C@H](O)C[C@H]2C(=O)O,
Z2472856664,Cl.Cl.OC1(CN2C=CN=N2)CCNC1,
Z1521553474,NC1=NC(=O)N(C=C1F)[C@@H]2CS[C@H](CO)O2,
Z756440078,NC=1N=C(F)N=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,
Z1255420592,OC1(CCNC1)C2=CC=NN2,
Z3016341160,[Li+].CN1C=C(CN2CCC(O)C2)C(=N1)C([O-])=O,
Z2489072449,Cl.O=C(O)C1CC(O)CN1C=2N=CN=C3N=CNC23,
Z1753047894,CCC1=NN=C(O1)[C@H]2C[C@@H](O)CN2,
Z2896887363,[K+].[O-]C(=O)C1=COC(CN2CC[C@H](O)C2)=N1,
Z3052952334,Cl.Cl.OC1(CN2CCC(CC2)OC=3C=CC=C(C3)C(F)(F)F)CCNC1,
Z1258981692,NC=1N=CC=C(N1)N2CCC(O)C2,
Z3001750495,Cl.Cl.CCC1=NC(=NN1)[C@@H]2C[C@@H](O)CN2,
Z2418413815,Cl.CN1C=C(N)C(=N1)C(=O)N2CCCC2CO,
Z1546610488,CC1=CN(C(=O)NC1=O)[C@@H]2C[C@@H](O)[C@H](CO)O2,
Z2310170022,"CC(C)N1C=C(C=N1)[C@@H]2CNC[C@H]2CO |&1:8,12,r|",
Z1546624231,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC=2C(=O)NC(N)=NC21,
Z2228348553,CC(C)C(=O)NC1=NC2=C(N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C(=O)N1,
Z1741975385,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC=3C(Cl)=NC=NC32,
Z118507064,O=C(O)CN1C(=O)C(F)=CN(C1=O)C2CCCO2,
Z1511499171,NC=1C=CN(C(=O)N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,
Z2681261526,Cl.NCC1=CN(CC(F)(F)F)C(=O)NC1=O,
Z2235802070,COC=1C=CC(=CC1Cl)CNC=2N=C(N=CC2C(=O)NCC=3N=CC=CN3)N4CCC[C@H]4CO,
Z2955323494,Cl.Cl.O[C@H]1CN[C@@H](C1)C2=NNC(=N2)C=3C=CC=CC3,
Z1515383340,NC=1N=CN(C(=O)N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,
Z1546610471,NC1=NC(=O)C=2N=CN(COCCO)C2N1,
Z754931264,CC1=CN(C(=O)NC1=O)[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2,
Z2760962857,CC1CN(CCN1CC(C)(C)O)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760968725,O=C1CN(CN1CC(F)(F)F)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z2760974085,OCC(CN1C=NC2=C(N=CN=C21)N3C4CCC3C(CO)C4)C5CCOC5,
Z2760959656,CN(CCO)C1CCN(CC1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,
Z2760939441,CCNC(=O)CN(CC)C=1N=CN=C2C1N=CN2CC3(O)CCOCC3,
Z2760977749,OCCOCCN(CCO)C=1N=CN=C2C1N=CN2C3CC(CO)(CO)C3,
Z2760954293,N#CCC(=O)N1CCN(CC1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,
Z2760954340,CN1CCC2C(CCCN2C=3N=CN=C4C3N=CN4C5CC(CO)(CO)C5)C1,
Z2760966596,OCC1(CN2C=NC3=C(N=CN=C32)N4CCCC4C5COCCC5O)CCOCC1,
Z2760945022,CN(C)CCN1CCCN(CC1)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,
Z2760958053,CCOCCO[C@H]1CCN(C1)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,
Z107296876,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)C3=C(NC4=CC=CC=C34)C=5C=CC=CC5,
Z145544798,O=C(CN1C=CC(=O)NC1=O)N2CCNC(=O)C2,
Z191397962,CCNC(=O)N1CCN(CC1)C(=O)CN2C=CC(=O)NC2=O,
Z1542548589,CC1CN(CCN1CC(F)(F)F)C(=O)CN2C=CC(=O)NC2=O,
Z3204056427,CCN1C=C(CNC(=O)C(F)C(F)(F)F)C(=O)NC1=O,
Z1272967670,N#CC1=CN(C(=O)N(CC2CCC2)C1=O)C3CC3,
Z382844786,CCC(C)NC(=O)CN1C=CC(=O)N(C)C1=O,
Z135626990,CCC(C)(C)NC(=O)CN1C=CC(=O)NC1=O,
Z94556663,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC=3C=CC=4OCOC4C3,
Z2760962909,CC1(C)CN(CCN1CCO)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760966608,CNC(=O)C1(C)CCN(C1)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,
Z2760972620,OC(CN1C=NC2=C(N=CN=C21)N3CCOCC3CC4CCC4)C5CCCO5,
Z2760947034,OC1(CN2C=NC3=C(N=CN=C32)N(CC4CCCO4)C5CCCC5)CCOCC1,
Z2760943001,CCC(=O)NC1CCCN(C1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4C,
Z2760963802,OCC1(CO)CC(C1)N2C=NC=3C(=NC=NC32)N4CCOC(COCC5CC5)C4,
Z2760965781,CCN(C=1N=CN=C2C1N=CN2CC3(O)CCOCC3)C4CCNC4=O,
Z2760968142,CC1OCCC21CN(CC(C)O2)C=3N=CN=C4C3N=CN4CC5(O)CCOC5,
Z2760946985,COCCN1CCN(CC1C)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760973237,CCOC1CC(C1)N(C)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760962451,OCCOC1CCCN(C1)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z2760964377,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4CCOC5(CCOC5)C4,
Z2760975982,CNC(=O)CC1(O)CCCN(C1)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760948750,CC(=O)NCC1CN(CCO1)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,
Z2760970495,COC1CC(N(C)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4)C51CCC5,
Z2760969094,O=S1(=O)CC[C@H]2CN(C[C@H]21)C=3N=CN=C4C3N=CN4CC(O)C5CCCO5,
Z1544608209,CC1=CN(C(=O)N(CC(=O)NC=2C=CC(=CC2)C(C)(C)C)C1=O)C3CC(O)C(CO)O3,
Z2760976264,OCC1(CO)CC(C1)N2C=NC=3C(=NC=NC32)N4CC(O)(C4)C(F)F,
Z2760949355,CC1CC2CCCCC2N1C=3N=CN=C4C3N=CN4CC5(O)CCOC5,
Z2760956898,COC1CCC2OCCN(C=3N=CN=C4C3N=CN4CC5(CO)CCOCC5)C2C1,
Z2760971074,OCC(CN1C=NC2=C(N=CN=C21)N3CCCCC3C4CCCC4O)C5CCOC5,
Z2760969724,OCC1(CN2C=NC3=C(N=CN=C32)N4CCCC54CCOC5)CCOCC1,
Z666561866,N#CC1=CN(CCCN2CCC=3C=CC=CC3C2)C(=O)NC1=O,
Z226861792,CCN1C=C(C#N)C(=O)N(CCC=2C=CN=CC2)C1=O,
Z384988750,CC1(C)NC(=O)N(CCCN2C(=O)C(C#N)=CN(C2=O)C3CC3)C1=O,
Z319144664,CCNC(=O)CN1CCN(CC2=CC(=O)N(C)C(=O)N2C)CC1,
Z2865985250,CN1C=C(C=CC(=O)N2CCCCCC2)C(=O)N(C)C1=O,
Z666564728,N#CC1=CN(CC2CCN(C2)C=3C=CC=CC3)C(=O)NC1=O,
Z104442664,Cl.CN1C(=O)C(=C(N)N(C)C1=O)N2CCNCC2,
Z56786767,CC(=O)OCC1OC(C(OC(C)=O)C1OC(C)=O)N2C=C(F)C(=O)NC2=O,
Z1779548012,CCC1(CCC1)C(=O)NC=2N=CN=C3C2C(C)=C(C)N3CC4CCCO4,
Z511654116,COCC(C)N(C)C(=O)CN1C=CC(=O)N(C)C1=O,
Z2760968953,CO[C@H]1C[C@@H](CN(C)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4)N(C)C1,
Z2760951661,CCN1CCCC1CN(C)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,
Z2760968928,CN1CCC2OCCN(C=3N=CN=C4C3N=CN4CC5(O)CCOCC5)C2C1,
Z2760967636,CC1CN(CC(O1)C2CC2)C=3N=CN=C4C3N=CN4CC5(O)CCOCC5,
Z2760948963,CCN1CCC(C(C)C1)N(C)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,
Z2760949293,CCOC1CC(N(C)C=2N=CN=C3C2N=CN3CC4(O)CCOC4C)C1(C)C,
Z2974688295,CC(C)(C)N1C=C(CNC2=NC=3C=CC=CC3N2)C(=O)NC1=O,
Z2760977058,CCC1COC(C)(C)CN1C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760969048,OCC1(CN2C=NC3=C(N=CN=C32)N4CCOCC4CC(F)F)COC1,
Z2760968811,COC[C@@H]1C[C@H](CN1C=2N=CN=C3C2N=CN3CC4(O)CCOCC4)OC,
Z2760969018,NC(=O)[C@@H]1C[C@@H](F)CN1C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z2760968730,O=C1CN(CN1CC(F)(F)F)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760955377,COC(C)(C)CN(C)C=1N=CN=C2C1N=CN2C3CC(CO)(CO)C3,
Z2760968901,COCC1CN(CC(C)(C)O1)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z2760963285,OCC1(CO)CC(C1)N2C=NC=3C(=NC=NC32)N4CCC(CC4)C5CCCO5,
Z2760955962,CC(=O)N1CCC(CN(C)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4)C1,
Z2760943600,OCC1(CN2C=NC3=C(N=CN=C32)N(CC4CC4)C5CCCCC5)COC1,
Z2760943306,NC(=O)CCC1CCCN(C1)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760942310,O=C(CN(C=1N=CN=C2C1N=CN2CC(CO)C3CCOC3)C4CC4)NC5CC5,
Z2760947351,CCN(C=1N=CN=C2C1N=CN2CC3(O)CCOC3)C(C)CS(=O)(=O)CC,
Z2760950320,O=C1CC2(CN1)CCCN(C2)C=3N=CN=C4C3N=CN4CC(CO)C5CCOC5,
Z2760938437,CC1(C)CC2CC(C)(CN2C=3N=CN=C4C3N=CN4CC5(CO)COC5)C1,
Z2760966931,O=C1CC2(CCN(C2)C=3N=CN=C4C3N=CN4C5CC(CO)(CO)C5)CN1,
Z2760973376,CCN(C=1N=CN=C2C1N=CN2CC3(CO)CCOCC3)C4CCOC(C)(C)C4,
Z2760975203,CC1(CC(F)(F)F)CN(C1)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,
Z2760961535,CC(=O)NC1CCC(CC1)N(C)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760940404,OC1(CN2C=NC3=C(N=CN=C32)N4CCN(CC5CCOC5)CC4)CCOCC1,
Z2760960997,CC(=O)NCCN(C=1N=CN=C2C1N=CN2CC3(O)CCOC3C)C(C)C,
Z2760941425,NC(=O)CC1CCCCN1C=2N=CN=C3C2N=CN3CC4(O)CCOC4,
Z2760947151,CN(CCN1CCCC1=O)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,
Z2760963608,OCCN(CC1CCCCC1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,
Z3292798294,CN1C=NC=2C(=O)N(C=NC21)CC(O)C3CCC3,
Z2760964372,CC(C)CN1CCN(C=2N=CN=C3C2N=CN3CC4(CO)CCOCC4)C(C)C1=O,
Z4169810948,CC=1C(=CC=C2CCCC12)CNCC3=CN(C(=O)NC3=O)C(C)(C)C,
Z2760974986,CCOCC1CCCCN1C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760964833,CC(O)CN1CCN(C=2N=CN=C3C2N=CN3CC4(CO)COC4)C(C)C1,
Z335081646,CC1CCN(C(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)C=4C=CC=CC4S1,
Z2974687803,CC(C)(C)N1C=C(CNC=2C=CN=C3C=CN=CC23)C(=O)NC1=O,
Z1349594474,CN1C=C(C(=O)N(CC(F)(F)F)C2CCC2)C(=O)NC1=O,
Z3290436454,CCCN(C)C(=O)N1CC(C1)N2C=C(C#N)C(=O)NC2=O,
Z2760959604,CC(C#N)CN(C1=NC=NC2=C1N=CN2CC3(O)CCOC3)C4CC4,
Z2760960144,CC(C)C(=O)NCCN(C)C=1N=CN=C2C1N=CN2C3CC(CO)(CO)C3,
Z2760952659,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N(C)CC(O)CN4CCOCC4,
Z2760963793,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4CCOC(COCC5CC5)C4,
Z2760946703,CC(O)CN1CCN(CC1C)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,
Z2760959682,CN(CC(C)(CO)CO)C=1N=CN=C2C1N=CN2CC3(O)CCOC3,
Z2760964335,CC1CCN(CC21CCCCC2)C=3N=CN=C4C3N=CN4CC5(CO)CCOCC5,
Z2760975846,NC(=O)CC1COCCN1C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760953312,OC1(CN2C=NC3=C(N=CN=C32)N4CCC5(O)CCCCC5C4)CCOCC1,
Z2760953300,OCC1(CO)CC(C1)N2C=NC=3C(=NC=NC32)N4CCC5(O)CCCCC5C4,
Z2760963880,CC(=O)NC(C)C1CCN(CC1)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760938911,O=C(NC1CC1)C2CCCN2C=3N=CN=C4C3N=CN4C5CC(CO)(CO)C5,
Z2760947086,CCC1CN(CCN1CCOC)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,
Z2870725085,CC(C)C1CCN(CC1)C(=O)NCC2=CN(C(=O)NC2=O)C3CC3,
Z2870726182,CCN(C(=O)NCC1=CN(C(=O)NC1=O)C2CC2)C3CCCCC3,
Z3141239617,CC(C)N1C=C(CNC(=O)N2CCCC(C2)C3CC3)C(=O)NC1=O,
Z2760959029,CCC1CCC(C)N1C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,
Z144329240,O=C(CN1C=CC(=O)NC1=O)N2CCCCC2,
Z2760962899,CC1CN(CC(C)(C)O)CCN1C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z2760963831,CC(C)CC(CO)N(C)C=1N=CN=C2C1N=CN2CC3(O)CCOCC3,
Z2760971405,CC1CC(CCN1C=2N=CN=C3C2N=CN3CC4(CO)CCOCC4)C(F)(F)F,
Z2760944277,CC(C)CN(C=1N=CN=C2C1N=CN2CC3(O)CCOC3C)C4CCN(C)CC4,
Z817034056,CC=1C=CC(=NN1)N2CCCC2CO,
Z1516474319,CC=1C=CC(C)=C(OCC(O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)C1C,
Z594160432,O=C(O)CN(C(=O)CN1C=CC(=O)NC1=O)C2CC2,
Z2695600718,COC(=O)C1(CN2C=CC(=O)N(C)C2=O)CC1,
Z2760964357,OC1(CN2C=NC3=C(N=CN=C32)N4CCCC(C4)OCC5CC5)CCOC1,
Z3141239062,CC(C)N1C=C(CNC(=O)N2CCCC2(C)C)C(=O)NC1=O,
Z2760963014,NC(=O)C1C2CCCC2CN1C=3N=CN=C4C3N=CN4CC5(CO)COC5,
Z2760974342,"CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4CC[C@@H]5OCC(=O)N[C@H]5C4 |&1:20,26,r|",
Z2760974967,NC(=O)CN1CCN(CC1=O)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,
Z2760968723,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4CC(=O)N(CC(F)(F)F)C4,
Z2925653880,CC1CCCN1C(=O)NCC2=CN(C(=O)NC2=O)C(C)(C)C,
Z2760934018,CN(CC(=O)NC1CC1)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z107295650,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N3CCN(CC3)C(=O)C4=CC=CO4,
Z1828661297,O=C1C(F)=CN(C(=O)N1CC(O)C2CCCCC2)C3CCCO3,
Z1551900487,NC=1N=C(Cl)N=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F,
Z1550648753,NC=1C=CN(C(=O)N1)[C@H]2CC[C@@H](CO)O2,
Z594284196,NC(=O)C=1N=CN(N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,
Z2204459563,OC[C@H]1O[C@H](C[C@@H]1O)N2C=NC3=C2N=CNC[C@H]3O,
Z2760944077,CCNC(=O)C1CCN(CC1)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z2760942055,CC(C)CCOC1CCN(CC1)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,
Z1220155161,CC1CCN(CC1)C(=O)C2CCN(CC2)C(=O)C3=CN(C)C(=O)N(C)C3=O,
Z2760949448,CCN1CCC(CC1C)N(C)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,
Z1744136164,CCC1(O)CCN(C1)C=2N=CN=C3NC=CC23,
Z2760952206,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4CC(C4)OCC(=O)N(C)C,
Z94558629,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC=3C=CC=C(I)C3,
Z3856732661,CN1C=C(C(=O)NC2CN(C)CCN(C)C2)C(=O)NC1=O,
Z2760963619,CC(C)CC1C(=O)NCCN1C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,
Z2760974681,CC(C)C1N(CC21CCCCC2)C=3N=CN=C4C3N=CN4C5CC(CO)(CO)C5,
Z2760955364,O=C1CN(C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4)C5CCCCC5N1,
Z2760974143,CN1C(=O)N[C@@H]2CN(CC[C@@H]21)C=3N=CN=C4C3N=CN4CC5(CO)CCOCC5,
Z2998966221,CC(C)(C)N1C=C(CNCC2(O)CCC2)C(=O)NC1=O,
Z2760972084,COCCC1COCCN1C=2N=CN=C3C2N=CN3CC4(O)CCOC4C,
Z2760936584,CCNC(=O)CN1CCN(CC1)C=2N=CN=C3C2N=CN3CC4(CO)CCOCC4,
Z2760956722,COCCN1CCN(CC1=O)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760941182,CC(=O)NCC1CCCN(C1)C=2N=CN=C3C2N=CN3CC4(CO)COC4,
Z2760969550,CC(C)N(CCOCCO)C=1N=CN=C2C1N=CN2CC3(CO)CCOCC3,
